BABYFOOD,RAVIOLI,CHS FILLED,W/TOMATO SAU	100	99	2.2	16.3	3.6
BABYFOOD,DINNER,BF NOODLE,STR	100	63	2.26	8.18	2.44
BABYFOOD,MACARONI&CHS,TODD	100	82	2.6	11.2	3.5
BABYFOOD,DINNER,BF&RICE,TODD	100	82	2.9	8.8	5
BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,JR	100	68	1.37	11.42	2.57
BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,TODD	100	75	1	10.8	5.3
BABYFOOD,DINNER,BF STEW,TODD	100	51	1.2	5.5	5.1
BABYFOOD,DINNER,VEG&BF,STR	100	77	3.6	8.84	2.21
BABYFOOD,DINNER,VEG&BF,JR	100	77	3.6	8.84	2.21
BABYFOOD,DINNER,BF W/VEG	100	96	6.93	6.36	2.03
BABYFOOD,DINNER,VEG&BACON,STR	100	69	2.95	8.81	1.92
BABYFOOD,DINNER,VEG&HAM,STR	100	59	2.14	7.8	2.19
BABYFOOD,DINNER,VEG&HAM,JR	100	60	1.89	8.65	2.02
BABYFOOD,DINNER,VEG&LAMB,STR	100	52	2	6.9	2
BABYFOOD,DINNER,VEG&LAMB,JR	100	51	1.7	7.1	2.1
BABYFOOD,DINNER,CHICK NOODLE,STR	100	66	2.06	9.08	2.69
BABYFOOD,DINNER,CHICK NOODLE,JR	100	55	1.18	8.79	2.37
BABYFOOD,DINNER,CHICK SOUP,STR	100	50	1.7	7.2	1.6
BABYFOOD,DINNER,CHICK STEW,TODD	100	78	3.7	6.4	5.2
BABYFOOD,DINNER,VEG CHICK,STR	100	59	1.73	8.42	2.47
BABYFOOD,DINNER,VEG,NOODLES&CHICK,STR	100	63	2.5	7.9	2
BABYFOOD,DINNER,VEG,NOODLES&CHICK,JR	100	64	2.2	9.1	1.7
BABYFOOD,DINNER,PASTA W/VEG	100	60	2.1	8.4	1.7
BABYFOOD,DINNER,VEG&NOODLES&TURKEY,STR	100	44	1.2	6.8	1.2
BABYFOOD,DINNER,VEG&NOODLES&TURKEY,JR	100	52	1.5	7.6	1.8
BABYFOOD,DINNER,TURKEY&RICE,STR	100	52	1.24	7.94	2.27
BABYFOOD,DINNER,TURKEY&RICE,JR	100	56	0.92	9.57	2.37
